Fa_000002l	25815314	3525001	3530800
Fa_000002l	25815314	22437601	22441800
Fa_000003l	17710636	37601	43200
Fa_000003l	17710636	65601	67400
Fa_000003l	17710636	134801	144600
Fa_000004l	17492803	1618801	1620800
Fa_000004l	17492803	4412601	4412800
Fa_000004l	17492803	14970001	14974200
Fa_000005l	57703426	34676801	34682400
Fa_000005l	57703426	55160401	55164400
Fa_000008l	24782304	998401	998800
Fa_000008l	24782304	6729601	6735000
Fa_000008l	24782304	14907801	14916000
Fa_000009l	13405232	5961001	5962800
Fa_000010l	14759899	13300401	13302400
Fa_000012l	26240345	2190801	2193200
Fa_000012l	26240345	2219001	2225200
Fa_000012l	26240345	7185001	7189000
Fa_000012l	26240345	12514401	12520400
Fa_000012l	26240345	23585201	23589200
Fa_000013l	55597870	1499001	1508000
Fa_000013l	55597870	50233001	50233400
Fa_000013l	55597870	54601801	54615400
Fa_000014l	30207016	137401	142200
Fa_000014l	30207016	468001	472800
Fa_000014l	30207016	9869201	9875600
Fa_000015l	41777757	39216601	39221200
Fa_000015l	41777757	39452001	39455600
Fa_000017l	6929704	5491201	5496600
Fa_000017l	6929704	6122001	6127200
Fa_000017l	6929704	6289201	6294600
Fa_000017l	6929704	6363001	6367800
Fa_000018l	33475590	7845201	7849200
Fa_000018l	33475590	17910601	17919200
Fa_000028l	44092072	1164001	1168200
Fa_000028l	44092072	23147401	23148400
Fa_000029l	50568489	26376001	26376600
Fa_000029l	50568489	43158601	43163600
Fa_000030l	35789634	754001	754400
Fa_000030l	35789634	8761801	8766800
Fa_000030l	35789634	15335401	15340000
Fa_000030l	35789634	28484601	28490400
Fa_000030l	35789634	33117401	33123200
Fa_000031l	60665133	45626801	45631600
Fa_000031l	60665133	60526401	60526800
Fa_000031l	60665133	60586601	60591600
Fa_000031l	60665133	60613601	60622800
Fa_000031l	60665133	60632601	60635000
Fa_000031l	60665133	60652201	60652600
Fa_000033l	14531563	12183401	12190800
Fa_000034l	7391435	6787801	6789600
Fa_000039l	3088305	1664201	1668800
Fa_000040l	27976279	27825401	27825600
Fa_000040l	27976279	27953401	27958800
Fa_000050l	24834059	1085401	1086000
Fa_000052l	2541203	2507201	2512400
Fa_000052l	2541203	2525601	2525600
Fa_000053l	22275102	22231001	22231000
Fa_000053l	22275102	22245601	22255200
Fa_000057l	28768085	19204001	19210800
Fa_000070l	9947572	8984601	8992800
Fa_000071l	26387512	15308401	15312000
Fa_000071l	26387512	15345401	15349800
Fa_000085l	6541119	216601	216600
Fa_000085l	6541119	284401	290000
Fa_000085l	6541119	367601	369200
Fa_000086l	29330066	3241401	3246400
Fa_000096l	6146894	321601	327000
Fa_000096l	6146894	5752801	5757400
Fa_000101l	1101645	832801	839800
Fa_000105l	34912115	19245401	19252400
Fa_000105l	34912115	29308401	29310600
Mo_000002l	31337794	1240601	1242600
Mo_000003l	31533521	51001	56000
Mo_000003l	31533521	1149001	1154400
Mo_000003l	31533521	1282401	1282600
Mo_000005l	41346577	751601	751800
Mo_000005l	41346577	8767801	8772600
Mo_000005l	41346577	15339401	15344000
Mo_000005l	41346577	28481001	28486200
Mo_000005l	41346577	33102801	33108600
Mo_000006l	4229057	4033801	4040200
Mo_000008l	55987758	980201	993800
Mo_000008l	55987758	5348201	5348600
Mo_000008l	55987758	54481601	54490400
Mo_000009l	6840656	144001	148800
Mo_000011l	34353327	8747201	8752800
Mo_000011l	34353327	18804401	18811000
Mo_000012l	24830383	1084001	1084600
Mo_000016l	28880900	476801	481400
Mo_000016l	28880900	5902401	5908000
Mo_000017l	44072690	1157001	1161000
Mo_000017l	44072690	23126601	23127600
Mo_000019l	42105181	13401	14800
Mo_000019l	42105181	29601	34400
Mo_000019l	42105181	40191001	40196400
Mo_000024l	39756985	49601	55800
Mo_000024l	39756985	58401	59200
Mo_000024l	39756985	75401	77200
Mo_000024l	39756985	145001	154800
Mo_000025l	12180619	8284001	8286000
Mo_000027l	21387928	2744201	2746000
Mo_000027l	21387928	3699401	3707800
Mo_000027l	21387928	12692401	12695400
Mo_000029l	17849907	1644201	1646200
Mo_000029l	17849907	4432601	4433000
Mo_000029l	17849907	15010001	15014200
Mo_000032l	53014561	1426201	1430800
Mo_000032l	53014561	29386801	29387200
Mo_000032l	53014561	46177801	46182800
Mo_000034l	4341881	4191801	4202200
Mo_000034l	4341881	4209001	4209400
Mo_000034l	4341881	4229401	4232400
